word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
adherence,683.0,0.78,9,1,12.22,3.2,1.5,1,7.002,0,-0.395,1,1
adherent,593.0,0.75,8,0.602059991,14.17,2.55,2.45,0.602059991,6.252,0,-0.088,1,1
adhesion,930.0,0.71,8,0.84509804,13.5,3.25,3.32,0.84509804,7.14,0,0.508,2,2
adhesive,877.0,0.97,8,1.681241237,9.17,3.2,4.35,1.633468456,7.083,0,-0.107,3,3
adipose,1172.0,0.44,7,0.698970004,15.7,2.8,,0.602059991,7.251,0,0.809,1,1
adjective,723.0,0.94,9,1.414973348,8.6,2.9,2.43,1.342422681,7.15,0,0.034,1,1
adjoining,899.0,0.91,9,1.763427994,11.85,2.85,2.93,1.698970004,5.75,0,0.113,1,1
adjourn,670.0,0.94,7,1.826074803,12.59,2.85,2.54,1.748188027,6.856,0,-0.55,3,3
adjournment,1018.0,0.85,11,1.079181246,14.26,4.25,2.82,1,6.427,0,0.352,1,1
adjudge,559.0,0.15,7,0.301029996,15.2,2.75,,0.301029996,6.175,0,-0.369,1,1
adjudicate,1110.0,0.68,10,0.77815125,15.25,3.85,2.12,0.477121255,6.283,0,2.323,2,2
adjust,595.667,0.91,6,2.459392488,8.43,2.45,2.93,2.396199347,7.285,0,-0.774,3,3
adjustable,647.0,1,10,1.230448921,8.95,3.9,3.27,1.204119983,7.101,0,-0.369,1,1
adjustment,649.5,0.91,10,2.201397124,9.74,3.4,2.81,2.113943352,5.756,0,-0.662,4,4
administer,1591.5,0.97,10,1.934498451,9.42,3.45,2.53,1.913813852,6.794,0,1.149,2,2
administration,699.5,1,14,2.588831726,11.11,4.3,2.78,2.457881897,6.446,0,-0.427,2,2
administrative,1376.667,0.97,14,1.919078092,11.5,4.9,2.14,1.857332496,5.835,0,1.113,3,3
administrator,980.5,1,13,1.929418926,12.22,4.75,3.89,1.838849091,6.775,0,0.023,2,2
admirable,1447.0,0.94,9,2.127104798,11.42,2.6,1.81,2.11058971,6.825,1,1.723,2,2
admiral,766.0,0.97,7,2.927370363,8.72,2.5,4.11,2.260071388,6.887,0,0.245,3,3
admiralty,1703.0,0.67,9,1.544068044,11.41,3.6,,1.146128036,6.281,0,3.967,1,1
admiration,1234.5,0.88,10,2.033423755,8.95,2.9,1.86,2,7.15,0,0.388,2,2
admire,1306.5,1,6,2.859138297,7.42,1.85,2.04,2.776701184,6.415,0,0.655,2,2
admirer,1723.75,0.94,7,2.181843588,8.78,2.45,2.93,2.096910013,6.582,2,1.625,4,4
admissible,683.0,0.88,10,1.579783597,13.1,3.55,1.88,1.462397998,7.096,0,-0.175,3,3
admission,971.0,0.97,9,2.260071388,8.84,2.85,2.83,2.217483944,7.416,0,-0.389,1,1
admit,640.667,1,5,3.480006943,7.56,2,2.32,3.32756326,7.648,1,-0.438,3,3
admittance,1088.0,0.97,10,1.544068044,10.39,3.75,2.26,1.414973348,7.322,0,0.85,2,2
admonish,1100.0,0.71,8,0.698970004,13.4,3.1,,0.698970004,6.025,0,0.153,1,1
admonition,1022.0,0.71,10,0.77815125,13.86,3.25,,0.698970004,7.187,0,1.039,1,1
ado,793.5,0.53,3,1.892094603,11.88,1.7,,1.84509804,9.224,9,0.301,2,2
adobe,656.0,0.94,5,1.397940009,12.22,1.95,4.19,1.176091259,7.215,1,-0.89,1,1
adolescence,696.333,0.97,11,1.653212514,10.42,4.15,2.81,1.62324929,5.68,0,-0.394,3,3
adolescent,854.0,0.97,10,1.977723605,11.05,3.55,3.48,1.939519253,5.578,0,-0.046,1,1
adopt,669.0,1,5,2.378397901,7.83,1.85,2.36,2.267171728,7.652,2,-0.338,2,2
adoption,552.0,1,8,2.380211242,7.79,2.75,3.03,2.149219113,7.707,0,-0.81,1,1
adorable,1075.0,0.97,8,2.730782276,6.94,2.85,1.86,2.640481437,6.222,1,1.507,1,1
adoration,853.0,0.91,9,1.491361694,11.8,2.55,2.19,1.414973348,7.077,0,0.464,3,3
adore,795.0,0.97,5,2.596597096,7.95,1.8,2.34,2.469822016,7.505,3,0.793,2,2
adorn,883.333,0.91,5,0.954242509,11.65,1.85,2.38,0.954242509,7.292,2,-0.148,3,3
adornment,803.0,0.82,9,0.698970004,12.32,3.4,2.83,0.602059991,6.247,0,0.321,1,1
adrenalin,1149.0,0.76,9,1.462397998,11.65,3.9,3.17,1.380211242,7.25,0,0.862,3,3
adrift,853.5,0.82,6,1.716003344,11.21,2.45,2.71,1.653212514,7.385,0,0.645,2,2
adroit,572.0,0.28,6,0.84509804,12.75,2.8,,0.84509804,7.369,0,-0.153,1,1
adroitness,997.5,0.33,10,0.301029996,15.21,3.95,,0.301029996,4.757,0,1.732,2,2
adulterant,1159.0,0.59,10,0.301029996,12.86,3.9,,0.301029996,5.909,0,1.915,2,2
adulterate,1026.0,0.72,10,0.301029996,13.76,3.25,2.76,0.301029996,5.224,0,0.948,2,2
adulterer,1169.0,0.76,9,1.322219295,11.63,3.35,2.96,1.113943352,5.702,0,1.811,1,1
adulteress,806.333,0.84,10,1.146128036,12.22,3.45,3.72,1.079181246,5.306,1,0.115,3,3
adulterous,1601.5,0.94,10,1.255272505,11.65,3.55,2.37,1.113943352,5.601,0,1.137,2,2
adultery,758.0,0.97,8,2,11.84,2.95,2.79,1.86332286,5.677,0,-0.443,2,2
adulthood,629.0,1,9,1.579783597,9.95,4.35,2.5,1.531478917,6.432,0,0.569,1,1
advance,513.5,1,7,2.911690159,8.35,2.6,2.57,2.8162413,7.324,0,-0.798,2,2
advanced,773.5,1,8,2.655138435,9.05,2.75,1.83,2.556302501,7.305,1,-0.279,2,2
advancement,730.333,1,11,1.806179974,10.89,3.75,2.1,1.770852012,6.819,0,-0.432,3,3
advantage,646.5,0.94,9,3.051538391,9.32,3.5,2,2.963315511,7.547,0,-0.623,2,2
advantageous,967.0,0.93,12,1.322219295,12.62,4.7,2.07,1.322219295,6.575,0,0.894,1,1
